Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m)
122,122,20/01/2022,100,24,30,33,25,28,218.62,205.32,Segera Border,IN,AD,big,32.334,186.286,172.986,13.3,33,0.33
123,123,20/01/2022,15,0,6,0,8,3.5,35.19,34.14,Segera Border,OUT,N/A,small,16.0905,19.0995,18.0495,1.05,8,0.08
124,124,20/01/2022,100,19,18,20,25,20.5,203.44,189.39,Segera Border,IN,AM,big,32.334,171.106,157.056,14.05,25,0.25
125,125,20/01/2022,100,24,25,30,38,29.25,230.04,216.85,Segera Border,OUT,N/A,big,32.334,197.706,184.516,13.19,38,0.38
126,126,20/01/2022,100,23,14,17,35,22.25,107.06,102,Segera Border,IN,AD,big,32.334,74.726,69.666,5.06,35,0.35
127,127,20/01/2022,100,38,30,29,36,33.25,234.53,223.4,Segera Border,OUT,N/A,big,32.334,202.196,191.066,11.13,38,0.38
128,128,20/01/2022,40,38,5,0,9,13,69.98,68.27,Segera Border,OUT,N/A,big,32.334,37.646,35.936,1.71,38,0.38
129,129,20/01/2022,90,27,18,20,20,21.25,142.96,132.69,Segera Border,IN,AD,big,32.334,110.626,100.356,10.27,27,0.27
130,130,20/01/2022,100,33,19,26,29,26.75,246.82,231.86,Segera Border,IN,AD,big,32.334,214.486,199.526,14.96,33,0.33
131,131,20/01/2022,80,30,24,16,10,20,121.03,113.96,Segera Border,OUT,N/A,big,32.334,88.696,81.626,7.07,30,0.3
132,132,20/01/2022,10,0,4,0,3,1.75,22.12,21.47,Segera Border,OUT,N/A,small,16.0905,6.0295,5.3795,0.65,4,0.04
133,133,20/01/2022,100,30,19,40,31,30,182.53,117.42,Segera Border,OUT,N/A,big,32.334,150.196,85.086,65.11,40,0.4
134,134,20/01/2022,75,3,7,5,4,4.75,61.54,59,Segera Border,OUT,N/A,small,16.0905,45.4495,42.9095,2.54,7,0.07
135,135,20/01/2022,95,5,4,9,8,6.5,91.17,87.32,Segera Border,OUT,N/A,big,32.334,58.836,54.986,3.85,9,0.09
136,136,20/01/2022,85,11,10,23,8,13,192.53,185.65,Segera Border,OUT,N/A,big,32.334,160.196,153.316,6.88,23,0.23
137,137,20/01/2022,100,21,23,17,21,20.5,163.92,153.57,Segera Border,IN,AD,big,32.334,131.586,121.236,10.35,23,0.23
138,138,20/01/2022,0,0,0,0,0,0,0,,Segera Border,OUT,N/A,,0,0,0,0,0,0
139,139,20/01/2022,30,4,0,6,17,6.75,62.88,59.63,Segera Border,OUT,N/A,big,32.334,30.546,27.296,3.25,17,0.17
140,140,20/01/2022,90,23,26,24,13,21.5,194.84,186.56,Segera Border,OUT,N/A,big,32.334,162.506,154.226,8.28,26,0.26
141,141,20/01/2022,85,11,11,13,13,12,92.88,91.03,Segera Border,OUT,N/A,big,32.334,60.546,58.696,1.85,13,0.13
142,142,20/01/2022,0,0,0,0,0,0,0,,Segera Border,OUT,N/A,,0,0,0,0,0,0
143,143,20/01/2022,35,9,16,12,6,10.75,79.83,75.15,Segera Border,OUT,N/A,big,32.334,47.496,42.816,4.68,16,0.16
144,144,20/01/2022,100,15,10,32,28,21.25,152.28,106.02,Segera Border,IN,AD,big,32.334,119.946,73.686,46.26,32,0.32
145,145,20/01/2022,10,3,2,0,0,1.25,36.1,35.22,Segera Border,OUT,N/A,big,32.334,3.766,2.886,0.88,3,0.03
146,146,20/01/2022,90,18,10,11,16,13.75,85.38,76.5,Segera Border,IN,AM,big,32.334,53.046,44.166,8.88,18,0.18
147,147,20/01/2022,30,3,3,18,5,7.25,39.32,38.09,Segera Border,OUT,N/A,small,16.0905,23.2295,21.9995,1.23,18,0.18
148,148,20/01/2022,40,0,11,0,8,4.75,71.31,66.52,Segera Border,OUT,N/A,big,32.334,38.976,34.186,4.79,11,0.11
149,149,20/01/2022,85,13,17,17,19,16.5,132.79,127.12,Segera Border,OUT,N/A,big,32.334,100.456,94.786,5.67,19,0.19
150,150,20/01/2022,100,31,32,32,33,32,283.1,269.92,Segera Border,OUT,N/A,big,32.334,250.766,237.586,13.18,33,0.33
151,151,21/01/2022,50,14,6,16,0,9,76.34,72.36,,OUT,N/A,small,16.0905,60.2495,56.2695,3.98,16,0.16
152,152,21/01/2022,95,5,12,21,17,13.75,169.36,161.24,,IN,AD,big,32.334,137.026,128.906,8.12,21,0.21
153,153,21/01/2022,65,5,21,8,0,8.5,70.35,66.76,,OUT,N/A,big,32.334,38.016,34.426,3.59,21,0.21
154,154,21/01/2022,100,28,30,32,22,28,269.57,256.02,,IN,AD,big,32.334,237.236,223.686,13.55,32,0.32
155,155,21/01/2022,20,0,15,0,19,8.5,60.74,57.49,,OUT,N/A,small,16.0905,44.6495,41.3995,3.25,19,0.19
156,156,21/01/2022,95,26,23,3,10,15.5,190.98,180.99,,IN,AD,big,32.334,158.646,148.656,9.99,26,0.26
157,157,23/01/2022,90,12,29,14,24,19.75,172.55,156.92,,IN,AM,big,32.334,140.216,124.586,15.63,29,0.29
